,file,emotion,dur,F1,F2,F3,F4,F5,F6,Mean_F0,F0_start,F0_end,Max_F0,Perc_Time_Max_F0,Min_F0,F0_abs_slope,F0_Var,Q25,Q50,Q75,Fpeak,AM_var,AM_rate,AM_extent,harmonicity,Formant_dispersal,Vocal_tract_length,Mean_wiener_entropy,bin_emo_val,ord_emo_val
0,ut_anger_05-f-grunt-with-effort,anger,0.431,852.852,2879.062,3929.44,5080.814,6583.018,7721.008000000001,392.04900000000004,424.36,417.68,469.689,50.412,217.327,1991.5320000000002,1189.404,755.717,1001.044,1709.285,937.753,87.178,12.754000000000001,6.835,3.9,1055.535,16.579,-1.777,0,2
1,ut_anger_06-f-roar,anger,0.7170000000000001,923.503,1364.388,2038.329,3263.469,3689.208,5272.6669999999995,349.73900000000003,342.92,325.3,370.664,39.208,325.298,303.998,137.418,1294.8110000000001,1770.46,2758.55,1302.077,92.18,14.645,6.294,1.53,912.635,19.175,-1.955,0,2
2,ut_anger_09-f-scream,anger,0.865,1142.5439999999999,2228.154,3123.5359999999996,5047.415,5510.108,6062.918000000001,196.3,194.58,233.61,233.612,53.698,175.014,345.535,0.539,2262.5,3035.636,3935.103,3082.3790000000004,101.965,12.710999999999999,8.022,3.55,967.648,18.085,-2.101,0,2
3,ut_anger_13-m-roar-scream,anger,3.838,681.372,1458.124,1819.565,2269.869,3679.0229999999997,4071.1809999999996,287.222,469.17,307.4,469.17400000000004,0.807,79.986,307.965,255.95,1125.755,1628.634,2175.877,1565.9479999999999,106.436,18.109,5.877999999999999,1.42,802.795,21.799,-2.400,0,2
4,ut_anger_21-m-roar-growl,anger,2.583,696.403,1118.266,2591.569,3341.172,5164.82,6131.829000000001,280.491,263.16,160.22,371.126,48.886,160.22299999999998,495.356,453.18199999999996,546.785,775.747,1130.053,729.6080000000001,117.65700000000001,14.908,7.892,6.52,1002.779,17.451,-1.243,0,2
5,ut_anger_23-f-roar-scream,anger,1.253,1089.335,1498.375,1971.64,2604.437,4017.027,5034.332,314.964,83.86,199.84,443.165,49.126000000000005,83.859,855.932,388.702,1339.049,1779.475,2419.5389999999998,1130.695,75.141,17.163,4.378,0.68,738.6089999999999,23.693,-3.051,0,2
6,ut_anger_23-m-roar,anger,1.258,874.3860000000001,1686.295,2171.0860000000002,2743.4709999999995,3786.782,4295.568,367.105,351.29,324.03,420.26599999999996,14.720999999999998,324.029,165.203,130.025,984.48,1468.9360000000001,1916.704,1574.4289999999999,63.242,21.868000000000002,2.892,0.09,746.9689999999999,23.428,-1.685,0,2
7,ut_anger_24-f-roar-curse,anger,1.464,1097.5919999999999,1800.476,2511.6620000000003,3485.157,4850.7429999999995,5997.696999999999,265.281,254.83,444.9,450.532,92.555,107.458,793.893,717.4069999999999,1005.498,1249.479,2013.307,1045.038,87.463,20.144000000000002,4.342,2.41,817.937,21.395,-2.337,0,2
8,ut_anger_25-m-roar-curse,anger,1.6640000000000001,841.1160000000001,1264.775,2394.555,3378.36,5340.722,6340.486999999999,265.835,194.17,455.36,455.356,87.971,96.338,694.56,589.844,881.18,1173.8139999999999,1732.371,791.862,57.118,19.827,2.8810000000000002,0.35,751.923,23.274,-2.114,0,2
9,ut_anger_28-f-scream-curse,anger,0.419,1036.144,1422.505,1955.619,3905.409,5905.762,7935.359,348.31,409.44,100.08,464.98699999999997,44.146,100.08,1854.763,605.911,1218.971,1661.4489999999998,2279.3089999999997,1163.596,152.609,13.113,11.638,3.3,785.895,22.268,-3.048,0,2
