file,emotion,dur,F1,F2,F3,F4,F5,F6,Mean_F0,F0_start,F0_end,Max_F0,Perc_Time_Max_F0,Min_F0,F0_abs_slope,F0_Var,Q25,Q50,Q75,Fpeak,AM_var,AM_rate,AM_extent,harmonicity,Formant_dispersal,Vocal_tract_length,Mean_wiener_entropy
ut_anger_05-f-grunt-with-effort,anger,0.431,852.852,2879.062,3929.44,5080.814,6583.018,7721.008,392.049,424.36,417.68,469.689,50.412,217.327,1991.532,1189.404,755.717,1001.044,1709.285,937.753,87.178,12.754,6.835,3.9,1055.535,16.579,-1.777
ut_anger_06-f-roar,anger,0.717,923.503,1364.388,2038.329,3263.469,3689.208,5272.667,349.739,342.92,325.3,370.664,39.208,325.298,303.998,137.418,1294.811,1770.46,2758.55,1302.077,92.18,14.645,6.294,1.53,912.635,19.175,-1.955
ut_anger_09-f-scream,anger,0.865,1142.544,2228.154,3123.536,5047.415,5510.108,6062.918,196.3,194.58,233.61,233.612,53.698,175.014,345.535,0.539,2262.5,3035.636,3935.103,3082.379,101.965,12.711,8.022,3.55,967.648,18.085,-2.101
ut_anger_13-m-roar-scream,anger,3.838,681.372,1458.124,1819.565,2269.869,3679.023,4071.181,287.222,469.17,307.4,469.174,0.807,79.986,307.965,255.95,1125.755,1628.634,2175.877,1565.948,106.436,18.109,5.878,1.42,802.795,21.799,-2.400
ut_anger_21-m-roar-growl,anger,2.583,696.403,1118.266,2591.569,3341.172,5164.82,6131.829,280.491,263.16,160.22,371.126,48.886,160.223,495.356,453.182,546.785,775.747,1130.053,729.608,117.657,14.908,7.892,6.52,1002.779,17.451,-1.243
ut_anger_23-f-roar-scream,anger,1.253,1089.335,1498.375,1971.64,2604.437,4017.027,5034.332,314.964,83.86,199.84,443.165,49.126,83.859,855.932,388.702,1339.049,1779.475,2419.539,1130.695,75.141,17.163,4.378,0.68,738.609,23.693,-3.051
ut_anger_23-m-roar,anger,1.258,874.386,1686.295,2171.086,2743.471,3786.782,4295.568,367.105,351.29,324.03,420.266,14.721,324.029,165.203,130.025,984.48,1468.936,1916.704,1574.429,63.242,21.868,2.892,0.09,746.969,23.428,-1.685
ut_anger_24-f-roar-curse,anger,1.464,1097.592,1800.476,2511.662,3485.157,4850.743,5997.697,265.281,254.83,444.9,450.532,92.555,107.458,793.893,717.407,1005.498,1249.479,2013.307,1045.038,87.463,20.144,4.342,2.41,817.937,21.395,-2.337
ut_anger_25-m-roar-curse,anger,1.664,841.116,1264.775,2394.555,3378.36,5340.722,6340.487,265.835,194.17,455.36,455.356,87.971,96.338,694.56,589.844,881.18,1173.814,1732.371,791.862,57.118,19.827,2.881,0.35,751.923,23.274,-2.114
ut_anger_28-f-scream-curse,anger,0.419,1036.144,1422.505,1955.619,3905.409,5905.762,7935.359,348.31,409.44,100.08,464.987,44.146,100.08,1854.763,605.911,1218.971,1661.449,2279.309,1163.596,152.609,13.113,11.638,3.3,785.895,22.268,-3.048
ut_anger_29-f-scream,anger,0.847,1297.42,2443.588,4789.002,6263.391,6900.293,7434.959,428.294,106.07,419.18,492.993,43.866,106.067,968.778,505.006,2346.774,2794.654,4905.686,2465.912,126.788,12.402,10.223,10.61,650.293,26.911,-4.055
ut_anger_30-m-roar-curse,anger,0.775,980.888,1571.05,1801.4,2488.152,3733.204,4639.652,245.225,196.41,318.33,319.609,60.061,196.414,347.974,99.776,1266.621,1722.351,2394.019,1605.556,77.298,10.965,7.049,-0.18,802.785,21.799,-1.604
ut_anger_36-f-roar-curse,anger,6.301,1005.838,1265.892,2021.096,2695.191,3313.348,4196.517,203.146,286.69,288.98,428.731,55.318,85.986,566.436,544.095,1102.148,1399.875,2554.05,1101.174,117.636,15.236,7.721,6.35,845.102,20.708,-3.474
ut_anger_38-c-roar,anger,0.59,663.165,1164.025,1951.194,3290.133,4663.859,5371.494,306.154,294.3,380.03,416.064,90.637,119.779,1003.243,945.897,545.613,807.838,1176.689,621.924,83.501,16.94,4.929,1.59,1121.665,15.602,-1.432
ut_anger_41-f-scream-angry-sad-tantrum,anger,1.034,1120.833,1842.794,2477.859,3444.794,5092.326,6251.389,327.546,332.39,238.35,455.52,17.645,233.036,796.546,689.023,1141.463,1506.78,2054.348,1164.609,85.05,17.884,4.756,6.09,786.761,22.243,-4.145
ut_anger_47-f-scream-tantrum,anger,1.847,1482.431,1939.667,2657.621,4496.167,11436.519,13349.952,361.685,365.62,234.83,485.883,66.53,182.833,968.143,903.041,1443.195,1720.517,2381.152,1534.746,53.311,18.952,2.813,2.97,691.813,25.296,-2.533
ut_anger_49-f-scream-tantrum,anger,1.451,902.001,1307.748,2036.103,2917.249,4101.539,5394.024,225.507,135.97,303.98,442.543,9.499,88.812,843.34,789.182,1162.358,1486.161,3246.612,1257.836,50.209,21.022,2.388,7.29,879.411,19.9,-3.199
ut_anger_51-m-scream-tantrum,anger,0.851,906.044,1286.771,1962.303,2577.345,3287.58,4301.517,323.115,381.8,422.6,469.525,12.525,116.966,1163.748,823.478,1101.856,1695.081,2550.222,1242.493,66.815,19.388,3.446,1.04,886.296,19.745,-1.988
ut_anger_54-m-roar,anger,0.792,565.914,1437.199,2908.076,4327.364,6020.129,7068.646,361.399,245.26,372.8,403.726,29.005,245.258,414.918,248.732,388.591,628.937,955.23,382.055,81.318,12.625,6.441,6.0,1100.202,15.906,-1.512
ut_anger_55-m-roar-with-effort,anger,1.025,532.312,1138.6,1848.53,2923.105,3653.441,6039.156,285.215,260.95,200.1,424.563,59.976,200.098,683.161,278.637,482.352,807.382,1577.583,536.826,56.754,19.992,2.839,2.39,990.256,17.672,-1.174
ut_anger_58-m-roar,anger,0.593,776.987,1282.549,2561.168,2989.218,3757.008,5281.227,266.263,311.14,358.12,358.116,97.22,207.28,571.774,492.478,796.728,1145.836,1521.922,1243.314,78.684,14.335,5.489,2.66,903.227,19.375,-1.655
ut_anger_59-m-roar,anger,0.996,976.311,1330.814,1853.15,2648.334,4551.45,5118.502,247.739,436.07,201.68,436.097,13.364,106.846,1262.225,350.94,1256.879,2033.399,4255.671,1221.521,83.797,16.068,5.215,-0.63,856.035,20.443,-1.918
ut_anger_61-m-roar-curse,anger,0.858,776.435,1223.029,2599.52,3187.721,4299.995,5496.334,215.034,274.81,166.7,446.28,64.772,86.075,1585.387,1218.228,810.996,1088.259,1342.7,1263.663,93.656,18.064,5.185,1.89,860.504,20.337,-2.432
ut_anger_62-m-growl,anger,0.576,540.455,1532.576,2804.362,3922.171,5640.082,6141.606,167.629,167.64,167.62,167.637,36.106,167.621,1.944,0.0,515.414,2047.396,6347.024,354.715,108.401,13.025,8.322,7.51,1152.552,15.184,-2.820
ut_anger_64-m-roar-overdrive,anger,0.95,779.088,1473.292,2865.479,4172.141,5212.116,6065.487,234.796,371.7,139.69,376.862,7.17,139.694,538.257,251.325,906.22,1701.226,5228.622,817.296,80.054,15.786,5.071,3.21,1045.818,16.733,-2.255
ut_disgust_03,disgust,1.535,488.706,1224.804,2578.473,3458.447,4174.223,5899.363,125.593,149.47,103.52,155.837,11.706,101.395,55.287,46.517,450.615,556.928,1010.657,463.687,62.943,9.772,6.441,18.61,1070.065,16.354,-1.625
ut_disgust_04,disgust,0.65,580.775,2496.05,3479.421,4457.558,5440.453,6840.387,157.029,117.52,130.62,180.153,67.303,117.524,253.838,197.288,295.802,576.664,974.0,160.386,119.168,10.006,11.91,2.94,896.587,19.518,-0.973
ut_disgust_10-1,disgust,0.586,690.151,1082.355,3061.841,3972.734,5032.107,5726.503,306.222,274.34,254.65,358.481,28.875,254.648,361.493,313.976,674.275,863.308,1201.945,694.096,64.3,12.801,5.023,5.75,1100.782,15.898,-1.859
ut_disgust_10-2,disgust,0.529,592.374,1560.034,1769.093,3355.091,3767.698,4544.259,321.71,349.84,271.39,349.843,27.31,271.385,272.422,57.632,1877.849,3639.247,5311.722,4525.666,142.483,9.454,15.071,7.62,1105.966,15.823,-2.086
ut_disgust_12,disgust,1.652,545.266,1209.885,2228.061,2750.572,4689.721,6406.596,95.991,93.55,89.3,274.227,83.103,77.207,293.634,129.739,498.431,945.527,3774.999,545.106,131.312,17.254,7.611,1.86,1202.768,14.55,-2.214
ut_disgust_16-f,disgust,0.73,831.417,1996.737,3648.502,4544.274,8086.363,8790.028,288.55,121.01,451.82,459.837,68.667,96.494,923.942,868.118,800.897,1205.183,2644.355,918.545,99.785,16.437,6.071,6.2,1263.233,13.853,-2.113
