WPT,filename,Begin Time,End Time,Low Freq,High Freq,Delta Time,Delta Freq,Avg Power Density
1,20241002_184500,36.6133,37.4374,7521.682,9051.597,0.8241,1529.914,-64.98
1, 20241002_184500,57.1048,57.5267,7341.145,8396.612,0.422,1055.467,-69.69
2,20241002_184500,8.4117,9.7189,7456.755,8993.752,1.3072,1536.998,-66.73
2,20241003_080000,58.2427,59.0372,6868.362,9172.747,0.7945,2304.385,-73.5
2,20241003_081500,21.1,22.1387,7485.919,8568.529,1.0387,1082.61,-64.24
2,20241003_081500,32.4597,33.6953,7248.631,8502.259,1.2356,1253.628,-67.38
2,20241003_123000,54.1545,54.935,7775.132,8958.583,0.7805,1183.451,-69.84
2,20241003_131500,27.1119,27.8221,7426.932,9210.684,0.7101,1783.752,-56.83
2,20241003_140000,39.9756,41.1573,7282.475,8820.889,1.1817,1538.415,-65.27
2,20241003_151500,3.9416,4.6456,7583.688,9078.211,0.704,1494.523,-69.89
3, 20241003_083000,46.1429,47.8862,7320.684,8538.052,1.7433,1217.368,-73.62
4,20241002_181500,6.9283,7.816,7189.21,8849.923,0.8877,1660.712,-67.47
4,20241002_181500,35.7468,36.5733,7533.316,9694.879,0.8264,2161.562,-65.72
6,20241002_173000,14.9143,15.4898,7869.367,9469.073,0.5755,1599.706,-71.91
6,20241002_173000,55.666,56.424,7027.417,9123.873,0.758,2096.456,-59.59
6,20241002_190000,55.666,56.424,7027.417,9123.873,0.758,2096.456,-59.59
6,20241003_083000,31.9486,32.2045,7046.596,8029.284,0.2559,982.688,-61.56
6,20241003_090000,16.3893,16.6546,7212.381,8207.046,0.2652,994.665,-60.93
6,20241003_090000,24.9726,25.185,7198.884,8194.106,0.2124,995.222,-65.76
6,20241003_114500,3.0731,3.5893,7286.18,9423.305,0.5161,2137.125,-67.14
6,20241003_151500,18.7728,19.3358,7610.686,8871.074,0.563,1260.388,-69.19
6,20241002_173000,17.469,18.3603,7061.095,8669.22,0.8913,1608.125,-70.25
7,20241003_081500,13.5112,14.2863,7706.084,10087.57,0.7751,2381.486,-57.05
8,20241003_083000,31.9913,32.8874,7486.266,8753.209,0.8961,1266.943,-69.55
8,20241003_090000,10.7182,11.8709,7283.473,8622.743,1.1527,1339.27,-68.04
8,20241003_153001,6.9249,7.6571,7453.824,8895.101,0.7322,1441.277,-61.18
8,20241003_153001,37.0824,37.999,7501.043,9114.146,0.9165,1613.103,-57.38
8,20241003_153001,46.7643,47.6387,7465.59,8857.113,0.8744,1391.523,-56.83
9,20241003_074500,0.2735,1.5486,6928.094,8211.555,1.2751,1283.461,-63.28
9,20241003_074500,37.7051,39.0049,7173.634,9360.996,1.2997,2187.362,-64.11
9,20241003_074500,40.7294,41.9797,7035.049,9085.021,1.2504,2049.972,-68.59
9,20241003_074500,46.8747,47.9975,7070.701,9245.454,1.1229,2174.753,-66.73
9,20241003_094500,17.1663,18.1132,6738.956,8562.681,0.9469,1823.725,-68.75
9,20241003_094500,41.152,42.4507,6785.33,8430.185,1.2986,1644.854,-69.11
9,20241003_131500,22.0017,22.7731,7436.176,8266.252,0.7713,830.076,-60.95
9,20241003_131500,28.5256,29.0077,7269.43,8402.386,0.4821,1132.956,-59.38
10,20241003_074500,54.8001,55.7694,7349.769,8464.622,0.9693,1114.853,-64.18
10,20241003_111500,9.9416,10.6319,7451.033,9219.42,0.6903,1768.387,-66.62
11,20241002_184500,0.9185,1.735,7468.146,9429.461,0.8165,1961.315,-73.55
11,20241003_094500,5.0782,5.271,7604.471,8621.385,0.1928,1016.914,-70.92
11,20241003_094500,21.5782,21.821,7647.059,9673.6,0.2428,2026.541,-70.4
11,20241003_094500,46.7912,47.3995,7132.953,8628.4,0.6083,1495.448,-69.7
11,20241003_110000,51.3822,51.9679,7879.841,8911.972,0.5857,1032.131,-70.61
11,20241003_114500,15.4063,16.2692,7337.236,8724.967,0.8629,1387.731,-58.88
11,20241003_114500,40.9412,41.8454,7224.747,8827.864,0.9042,1603.117,-57.02
11,20241003_114500,57.4403,58.7405,7145.203,8607.588,1.3002,1462.385,-53.19
