filename,Start (s),End (s),Confidence,label
20241002_170000,0,60,1,none
20241002_171500,0,60,1,none
20241002_173000,0,60,1,none
20241002_174500,0,60,1,none
20241002_180000,0,60,1,none
20241002_181500,6,9,0.9097,regreg
20241002_181500,39,42,0.8764,regreg
20241002_183000,0,60,1,none
20241002_184500,0,60,1,none
20241002_190000,0,60,1,none
20241002_191500,6,9,0.9128,regreg
20241002_191500,18,21,0.813,regreg
20241002_191500,30,33,0.9166,regreg
20241002_193000,3,6,0.7828,erirub
20241002_193000,18,21,0.9497,erirub
20241002_193000,33,36,0.8166,erirub
20241002_193000,54,57,0.7804,erirub
20241002_194500,0,60,1,none
20241002_200000,0,60,1,none
20241002_201500,0,60,1,none
20241002_203000,0,60,1,none
20241002_204500,0,60,1,none
20241002_210000,0,60,1,none
20241002_211500,0,60,1,none
20241002_213000,0,60,1,none
20241002_214500,0,60,1,none
20241002_220000,0,60,1,none
20241002_221500,0,60,1,none
20241002_223000,0,60,1,none
20241002_224500,0,60,1,none
20241002_230000,0,60,1,none
20241002_231500,0,60,1,none
20241002_233000,0,60,1,none
20241002_234500,0,60,1,none
20241003_000000,0,60,1,none
20241003_001500,0,60,1,none
20241003_003000,0,60,1,none
20241003_004500,0,60,1,none
20241003_010000,0,60,1,none
20241003_011500,0,60,1,none
20241003_013000,0,60,1,none
20241003_014500,0,60,1,none
20241003_020000,0,60,1,none
20241003_021500,0,60,1,none
20241003_023000,0,60,1,none
20241003_024500,0,60,1,none
20241003_030000,0,60,1,none
20241003_031500,0,60,1,none
20241003_033000,0,60,1,none
20241003_034500,0,60,1,none
20241003_040000,0,60,1,none
20241003_041500,0,60,1,none
20241003_043000,0,60,1,none
20241003_044500,0,60,1,none
20241003_050000,0,60,1,none
20241003_051500,0,60,1,none
20241003_053000,0,60,1,none
20241003_054500,0,60,1,none
20241003_060000,0,60,1,none
20241003_061500,0,60,1,none
20241003_063000,0,60,1,none
20241003_064500,0,60,1,none
20241003_070000,0,60,1,none
20241003_071500,0,60,1,none
20241003_073000,0,60,1,none
20241003_074500,54,57,0.8561,regreg
20241003_080000,0,60,1,none
20241003_081500,27,30,0.9554,aegcau
20241003_081500,36,39,0.9579,aegcau
20241003_083000,0,60,1,none
20241003_084500,57,60,0.9447,cerfam
20241003_090000,0,60,1,none
20241003_091500,0,60,1,none
20241003_093000,18,21,0.9398,coccoc
20241003_094500,0,60,1,none
20241003_100000,0,60,1,none
20241003_101500,0,60,1,none
20241003_103000,0,60,1,none
20241003_104500,0,60,1,none
20241003_110000,0,60,1,none
20241003_111500,0,60,1,none
20241003_113000,0,60,1,none
20241003_114500,0,60,1,none
20241003_120000,0,60,1,none
20241003_121500,0,60,1,none
20241003_123000,0,60,1,none
20241003_124500,0,60,1,none
20241003_130000,0,60,1,none
20241003_131500,0,60,1,none
20241003_133000,0,60,1,none
20241003_134500,0,60,1,none
20241003_140000,0,60,1,none
20241003_141500,0,60,1,none
20241003_143000,0,60,1,none
20241003_144500,0,60,1,none
20241003_150000,0,60,1,none
20241003_151500,0,60,1,none
20241003_153000,0,60,1,none
20241003_154500,0,60,1,none
20241003_160000,0,60,1,none
20241003_161500,0,60,1,none
20241003_163000,0,60,1,none
