,PASSEIFORME et COLUMBIFORMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PICIFORMES,,,,Galliformes et Charadriiformes,,,"Strigiformes, Accipitriformes, Falconiformes",,,,,rain,wind,insect,comments,
filename,turphi,fricoe,perate,erirub,sylatr,colpal,turmer,lopcri,pyrpyr,turvis,trotro,gargla,regign,regreg,turtor,cerfam,phycol,poemon,loxcur,prumod,siteur,cyacae,anttri,nuccar,corcor,parmaj,carspi,coccoc,poepal,coccor,carcar,motalb,carcan,cuccan,phooch,phopho,phybon,phytro,sercit,carchl,embcit,drymar,denmaj,pictri,picvir,tetbon,teturo,scorus,glapas,aegfun,stralu,butbut,falper,,,,,
S4A03536_20190613_084500.wav,4,2,,11,8,,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,pic noir en vol loin,Pas d'espèce
S4A03536_20190613_150000.wav,3,6,,6,2,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
S4A03536_20190615_020000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,Pluie forte et vent uniquement,
S4A03536_20190615_073000.wav,6,3,,8,3,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Pluie fine,
S4A03536_20190615_131500.wav,,,,7,7,,9,,,,,,,4,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Avion,
S4A03536_20190615_230000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Pluie fine uniquement,
S4A03536_20190616_031500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pluie fine uniquement,
S4A03536_20190616_061500.wav,6,5,,6,,,7,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
S4A03536_20190616_083000.wav,12,2,2,,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mésanges noires et huppé sont notées en cris. Pas certain des espèces (ce sont des mésanges ok mais doute sur l'espèce) car très peu audibles.,
S4A03536_20190616_183000.wav,3,8,,8,4,,6,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,
S4A03536_20190617_013000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Rien,
S4A03536_20190617_031500.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,"2 séries de chant (poupoupoupou) ; la première est composée de 19 répétition de ""poupoupoupou durant 40 s., la seconde commence à la fin de la minute (1 occurrence), donc noté 20…",
S4A03536_20190617_083000.wav,1,1,3,2,19,,1,,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Bande complexe, ""UNKNOW_CRI 6"", peut-être des becs croisés…",
S4A03536_20190617_211500.wav,13,8,,2,1,1,5,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"2  ""UNKNOW""… ERIRUB 2 dont un ""CLIQUETIS""",
S4A03536_20190618_040000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,,Cloches en fond…,
S4A03536_20190618_221500.wav,9,,1,3,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,
S4A03536_20190619_044500.wav,10,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"10 evenements merle, un individu - 19 evenements grive mus, 2 à 3 indiv différents",
S4A03536_20190619_131500.wav,,2,,,9,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,vent assez soutenu,
S4A03536_20190619_170000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"vent, vague montante puis descendante, rien",
S4A03536_20190620_114500.wav,,13,9,4,,,,7,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Avion - Pour LOPCRI et PERATE, cris uniquement",
S4A03536_20190620_143000.wav,,19,,7,3,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avion - Pour FRICOE, 19 cris répétés",
S4A03536_20190620_183000.wav,1,8,,,,,10,10,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orage  annoncé en toute fin de bande (difficile pour LOPCRI, 9 cris et un début de chant en 10)",
