"altitude_group","label","total_frequency"
"1134_metres","regreg",24
"1134_metres","aegcau",6
"1134_metres","erirub",5
"1134_metres","poepal",5
"1134_metres","fulatr",4
"1134_metres","cerfam",3
"1134_metres","coccoc",3
"1134_metres","turili",2
"1134_metres","butbut",1
"1134_metres","lopcri",1
"1134_metres","picvir",1
"1134_metres","siteur",1
"1134_metres","turphi",1
"1180_metres","regreg",18
"1180_metres","turphi",3
"1180_metres","aegcau",2
"1180_metres","cerfam",2
"1180_metres","picvir",1
"1180_metres","poepal",1
"1235_metres","lopcri",20
"1235_metres","regreg",14
"1235_metres","denmaj",12
"1235_metres","coccoc",11
"1235_metres","cerfam",4
"1235_metres","regign",1
"1235_metres","turili",1
"1274_metres","regreg",12
"1274_metres","cerfam",7
"1274_metres","drymar",6
"1274_metres","corcor",5
"1274_metres","lopcri",5
"1274_metres","denmaj",2
"1274_metres","poepal",2
"1274_metres","aegcau",1
"1274_metres","erirub",1
